Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Lineage
,GOGLO.ST,GOGLO.ST,GOGLO.ST,GOGLO.ST,GOGLO.ST,GOGLO.ST,,
2015-04-14,187.82203674316406,201.5,201.5,200.0,201.0,42,GOGLO.ST,DryBulk
2015-04-15,186.42379760742188,200.0,200.0,200.0,200.0,137,GOGLO.ST,DryBulk
2015-04-16,185.02561950683594,198.5,202.0,198.5,200.0,2535,GOGLO.ST,DryBulk
2015-04-17,190.8513946533203,204.75,204.75,201.25,204.5,1578,GOGLO.ST,DryBulk
2015-04-20,194.95269775390625,209.14999389648438,209.5,208.0,209.0500030517578,2513,GOGLO.ST,DryBulk
2015-04-21,207.39651489257812,222.5,225.0,222.0,225.0,6392,GOGLO.ST,DryBulk
2015-04-22,200.40562438964844,215.0,220.10000610351562,215.0,219.5,3861,GOGLO.ST,DryBulk
2015-04-23,194.7196807861328,208.89999389648438,214.4499969482422,208.89999389648438,214.4499969482422,2059,GOGLO.ST,DryBulk
2015-04-24,195.93145751953125,210.1999969482422,210.89999389648438,205.25,209.5500030517578,2906,GOGLO.ST,DryBulk
2015-04-27,195.74502563476562,210.0,217.0,198.0,217.0,4803,GOGLO.ST,DryBulk
2015-04-28,191.08441162109375,205.0,207.0,203.5,206.0,2788,GOGLO.ST,DryBulk
2015-04-29,179.7125244140625,192.8000030517578,203.5,192.75,203.5,2217,GOGLO.ST,DryBulk
2015-04-30,174.91217041015625,187.64999389648438,191.9499969482422,183.25,189.0,1887,GOGLO.ST,DryBulk
2015-05-04,168.10769653320312,180.35000610351562,184.5,180.3000030517578,181.0,3705,GOGLO.ST,DryBulk
2015-05-05,167.64163208007812,179.85000610351562,181.5,178.5500030517578,179.5,4001,GOGLO.ST,DryBulk
2015-05-06,166.66290283203125,178.8000030517578,178.8000030517578,176.0,178.0,1345,GOGLO.ST,DryBulk
2015-05-07,161.02357482910156,172.75,174.39999389648438,171.35000610351562,173.5500030517578,1613,GOGLO.ST,DryBulk
2015-05-08,164.9850616455078,177.0,179.25,169.0,169.0,2970,GOGLO.ST,DryBulk
2015-05-11,165.73074340820312,177.8000030517578,180.6999969482422,174.89999389648438,175.8000030517578,2465,GOGLO.ST,DryBulk
2015-05-12,169.17962646484375,181.5,182.5,173.0,173.0500030517578,3561,GOGLO.ST,DryBulk
2015-05-13,177.4755096435547,190.39999389648438,192.89999389648438,181.85000610351562,181.85000610351562,16831,GOGLO.ST,DryBulk
2015-05-15,173.00135803222656,185.60000610351562,190.60000610351562,185.0,190.60000610351562,2381,GOGLO.ST,DryBulk
2015-05-18,171.74295043945312,184.25,186.6999969482422,183.5,184.0,2220,GOGLO.ST,DryBulk
2015-05-19,167.5017852783203,179.6999969482422,185.6999969482422,179.0,185.6999969482422,2953,GOGLO.ST,DryBulk
2015-05-20,162.09548950195312,173.89999389648438,180.0,173.5500030517578,180.0,707,GOGLO.ST,DryBulk
2015-05-21,163.8199462890625,175.75,176.60000610351562,175.75,175.75,917,GOGLO.ST,DryBulk
2015-05-22,165.3113250732422,177.35000610351562,177.35000610351562,173.0500030517578,176.25,3921,GOGLO.ST,DryBulk
2015-05-25,165.3113250732422,177.35000610351562,177.35000610351562,177.35000610351562,177.35000610351562,0,GOGLO.ST,DryBulk
2015-05-26,163.16748046875,175.0500030517578,178.0,174.5500030517578,178.0,1320,GOGLO.ST,DryBulk
2015-05-27,156.59597778320312,168.0,171.8000030517578,167.8000030517578,171.6999969482422,3029,GOGLO.ST,DryBulk
2015-05-28,153.33358764648438,164.5,166.0500030517578,158.5,166.0,4526,GOGLO.ST,DryBulk
2015-05-29,149.2322998046875,160.10000610351562,163.5,159.1999969482422,163.25,1207,GOGLO.ST,DryBulk
2015-06-01,149.65171813964844,160.5500030517578,168.5,160.5500030517578,163.85000610351562,4266,GOGLO.ST,DryBulk
2015-06-02,149.3254852294922,160.1999969482422,161.5500030517578,157.5500030517578,160.75,10410,GOGLO.ST,DryBulk
2015-06-03,148.43995666503906,159.25,161.75,158.89999389648438,159.64999389648438,3795,GOGLO.ST,DryBulk
2015-06-04,147.27481079101562,158.0,159.25,157.0500030517578,159.25,1689,GOGLO.ST,DryBulk
2015-06-05,147.41464233398438,158.14999389648438,158.14999389648438,156.3000030517578,157.89999389648438,1304,GOGLO.ST,DryBulk
2015-06-08,146.10963439941406,156.75,157.4499969482422,156.0500030517578,157.10000610351562,1293,GOGLO.ST,DryBulk
2015-06-09,140.75001525878906,151.0,158.25,151.0,156.0,2675,GOGLO.ST,DryBulk
2015-06-10,140.47035217285156,150.6999969482422,150.9499969482422,149.0,150.9499969482422,2277,GOGLO.ST,DryBulk
2015-06-11,137.25453186035156,147.25,151.5,145.5,151.5,2575,GOGLO.ST,DryBulk
2015-06-12,137.06809997558594,147.0500030517578,150.8000030517578,147.0,149.35000610351562,8474,GOGLO.ST,DryBulk
2015-06-15,132.73374938964844,142.39999389648438,148.0500030517578,142.10000610351562,147.9499969482422,9330,GOGLO.ST,DryBulk
2015-06-16,133.71246337890625,143.4499969482422,143.4499969482422,134.5,139.1999969482422,2686,GOGLO.ST,DryBulk
2015-06-17,134.73785400390625,144.5500030517578,144.8000030517578,141.85000610351562,144.5,4196,GOGLO.ST,DryBulk
2015-06-18,141.5888671875,151.89999389648438,152.14999389648438,145.39999389648438,145.9499969482422,8792,GOGLO.ST,DryBulk
2015-06-22,139.351806640625,149.5,152.5,149.0,150.5,1880,GOGLO.ST,DryBulk
2015-06-23,144.01242065429688,154.5,155.5,150.0,150.0,8338,GOGLO.ST,DryBulk
